role,city,salary_min,salary_max,skills,experience,description,industry,posting_date,month
Data Analyst,Bangalore,4.0,8.0,PysparkAws GlueAws LambdaDataData EngineeringAWSGlueLambda Expressions,2,PysparkAws GlueAws LambdaDataData EngineeringAWSGlueLambda Expressions,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,SQL CodingMATHSPRESENTINGIntegrationPREPROCESSINGData VisualizationJava CodingData Analytics,2,SQL CodingMATHSPRESENTINGIntegrationPREPROCESSINGData VisualizationJava CodingData Analytics,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,data fusionBig queryData FlowFlowDataBigqueryFusionGCP,2,data fusionBig queryData FlowFlowDataBigqueryFusionGCP,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Computer scienceConsultingSystem integrationCloudManager TechnologyApplication developmentSQL AzureSDLC,2,Computer scienceConsultingSystem integrationCloudManager TechnologyApplication developmentSQL AzureSDLC,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Analytical skillsData analysisCloudInfrastructurepower biTroubleshootingData warehousingAWS,2,Analytical skillsData analysisCloudInfrastructurepower biTroubleshootingData warehousingAWS,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Azure data engineerAzure Data FactoryAzure Data LakeDataData LakeFactoryMicrosoft Azure,2,Azure data engineerAzure Data FactoryAzure Data LakeDataData LakeFactoryMicrosoft Azure,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Db2GCPsparkHadoopPackagingInformixSSISSQL,2,Db2GCPsparkHadoopPackagingInformixSSISSQL,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,MicrostrategyComputer scienceAutomationMS SQLPostgresqlData qualityTeradataAnalytics,2,MicrostrategyComputer scienceAutomationMS SQLPostgresqlData qualityTeradataAnalytics,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,SnowflakeSQLData WarehousingDevelopmentData EngineeringSeniorWarehouseData,2,SnowflakeSQLData WarehousingDevelopmentData EngineeringSeniorWarehouseData,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Interpersonal skillsData modelingSCALAProgrammingpower biProject planningInformaticabig data,2,Interpersonal skillsData modelingSCALAProgrammingpower biProject planningInformaticabig data,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Interpersonal skillsData modelingSCALAProgrammingpower biProject planningInformaticaBusiness solutions,2,Interpersonal skillsData modelingSCALAProgrammingpower biProject planningInformaticaBusiness solutions,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Interpersonal skillsData modelingSCALAProgrammingpower biProject planningInformaticaBusiness solutions,2,Interpersonal skillsData modelingSCALAProgrammingpower biProject planningInformaticaBusiness solutions,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,TelecomSANPerformance tuningAutomationConsultingJSONmicrosoftVirtualization,2,TelecomSANPerformance tuningAutomationConsultingJSONmicrosoftVirtualization,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Supply chainAutomationBusiness transformationData managementData collectionBusiness intelligenceMonitoringSQL,2,Supply chainAutomationBusiness transformationData managementData collectionBusiness intelligenceMonitoringSQL,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Root cause analysisSoftware development methodologiesNoSQLcassandraWorkflow managementAgileMongoDBBusiness intelligence,2,Root cause analysisSoftware development methodologiesNoSQLcassandraWorkflow managementAgileMongoDBBusiness intelligence,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,LinuxProject managementSchemaMachine learningAgileData structuresSchedulingbig data,2,LinuxProject managementSchemaMachine learningAgileData structuresSchedulingbig data,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Supply chainAutomationBusiness transformationData managementData collectionBusiness intelligenceMonitoringSQL,2,Supply chainAutomationBusiness transformationData managementData collectionBusiness intelligenceMonitoringSQL,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,T-SQLCodingStaffingDesign developmentProgrammingpower biMSBIData warehousing,2,T-SQLCodingStaffingDesign developmentProgrammingpower biMSBIData warehousing,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Health insuranceGITAgileMongoDBApachebig dataAWSAnalytics,2,Health insuranceGITAgileMongoDBApachebig dataAWSAnalytics,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Investment Bankingdata analystSQLPythonRoot Cause AnalysisData AnalysisData Profilingbanking,2,Investment Bankingdata analystSQLPythonRoot Cause AnalysisData AnalysisData Profilingbanking,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Supply chainData analysisOperational excellenceWeb analyticsAnalyticalData collectionmicrosoftContinuous improvement,2,Supply chainData analysisOperational excellenceWeb analyticsAnalyticalData collectionmicrosoftContinuous improvement,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,NLPData AnalysisMachine LearningSQLPythondata extractiondata manipulationdata warehousing,2,NLPData AnalysisMachine LearningSQLPythondata extractiondata manipulationdata warehousing,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,PythonAdvance ExcelPower BiSQLAdvanced ExcelBiData analysisExcel,2,PythonAdvance ExcelPower BiSQLAdvanced ExcelBiData analysisExcel,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Data Analysis and InterpretationProven experience in data analysisPower BImarket researchBiManagementData analysisAnalysis,2,Data Analysis and InterpretationProven experience in data analysisPower BImarket researchBiManagementData analysisAnalysis,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Data AnlalyticsData ArchitecturePythonAzureSciPyPandasNumPySQL,2,Data AnlalyticsData ArchitecturePythonAzureSciPyPandasNumPySQL,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Data ArchitecturePythonScipyFull stackPandasNumpySQLData,2,Data ArchitecturePythonScipyFull stackPandasNumpySQLData,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,PythonPower BiAdvanced ExcelSQLDataData analysisExcelBi,2,PythonPower BiAdvanced ExcelSQLDataData analysisExcelBi,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Strategic Business PlanningBusiness StrategyStrategy Makingmarket researchMarket AnalysisInsightsDataBusiness planning,2,Strategic Business PlanningBusiness StrategyStrategy Makingmarket researchMarket AnalysisInsightsDataBusiness planning,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,GraphicsMinitabFront endRDBMSMySQLSPSSMacrosAnalytics,2,GraphicsMinitabFront endRDBMSMySQLSPSSMacrosAnalytics,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,ExcelSQL DatabaseAdvanced ExcelClient InteractionData analysisClientDBMSSQL,2,ExcelSQL DatabaseAdvanced ExcelClient InteractionData analysisClientDBMSSQL,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Power BiAdvanced ExcelMacrosVBAPower PivotMySQLTableauPower Query,2,Power BiAdvanced ExcelMacrosVBAPower PivotMySQLTableauPower Query,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Analytical skillstableauMachine learningData AnalystQlikViewDigital marketingContinuous improvementAnalytics,2,Analytical skillstableauMachine learningData AnalystQlikViewDigital marketingContinuous improvementAnalytics,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Data analysisSASData managementHealthcareData miningRisk managementAnalyticsCounselling,2,Data analysisSASData managementHealthcareData miningRisk managementAnalyticsCounselling,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Computer scienceData analysisVATDatabasedata integrityData AnalystInformation managementData mining,2,Computer scienceData analysisVATDatabasedata integrityData AnalystInformation managementData mining,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Organic chemistryPublishingData AnalystSubject Matter ExpertFraud detectionSubjectChemistryData analysis,2,Organic chemistryPublishingData AnalystSubject Matter ExpertFraud detectionSubjectChemistryData analysis,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,SASCredit Card AnalyticsRProject ManagementBanking AnalyticsProblem SolvingCredit CardsPython,2,SASCredit Card AnalyticsRProject ManagementBanking AnalyticsProblem SolvingCredit CardsPython,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Data analysisAnalyticalMachine learningData collectionData AnalystPredictive modelingdata privacyOperations,2,Data analysisAnalyticalMachine learningData collectionData AnalystPredictive modelingdata privacyOperations,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Google Data StudioGoogle SheetsGoogle Apps ScriptGoogle FormsAdvanced ExcelGoogleGoogle AppsData Studio,2,Google Data StudioGoogle SheetsGoogle Apps ScriptGoogle FormsAdvanced ExcelGoogleGoogle AppsData Studio,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,data cleansingSANAutomationManager Quality AssuranceData qualitydata visualizationData miningSQL,2,data cleansingSANAutomationManager Quality AssuranceData qualitydata visualizationData miningSQL,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Supply chainData analysisProduct engineeringMISAnalyticalpower biData qualityOpen source,2,Supply chainData analysisProduct engineeringMISAnalyticalpower biData qualityOpen source,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Data AnalysisFXData Engineeringdocumentationsystems engineeringETLproblem-solving skillsreconciliation,2,Data AnalysisFXData Engineeringdocumentationsystems engineeringETLproblem-solving skillsreconciliation,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,AutomationData collectionData AnalystStakeholder managementOpen sourceOperationsAnalyticsSQL,2,AutomationData collectionData AnalystStakeholder managementOpen sourceOperationsAnalyticsSQL,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Data analysisLinuxAnalyticalData collectionData AnalystMedical insuranceOperationsMonitoring,2,Data analysisLinuxAnalyticalData collectionData AnalystMedical insuranceOperationsMonitoring,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,BankingStakeholder managementData warehousinglead data analystManagementData analysisWarehouseData,2,BankingStakeholder managementData warehousinglead data analystManagementData analysisWarehouseData,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,SASPrimary researchData modelingConsultingCompetitive intelligenceQlikViewData miningFinancial services,2,SASPrimary researchData modelingConsultingCompetitive intelligenceQlikViewData miningFinancial services,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,ProcurementAutomationData validationData managementData modelingAnalyticalProcess improvementData quality,2,ProcurementAutomationData validationData managementData modelingAnalyticalProcess improvementData quality,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Analytical skillsInterpersonal skillsdata domainGCPAgileScrumData Analystbig data,2,Analytical skillsInterpersonal skillsdata domainGCPAgileScrumData Analystbig data,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,RelativityEdiscoverydtsearchTARLitigationConcept SellingAIClustering,2,RelativityEdiscoverydtsearchTARLitigationConcept SellingAIClustering,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Statistical analysisQuantitative researchdata scienceAnalyticalMachine learningProgrammingQuantitative AnalystInvestment management,2,Statistical analysisQuantitative researchdata scienceAnalyticalMachine learningProgrammingQuantitative AnalystInvestment management,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Data analysisdata securityConsultingData AnalystData qualitydata integritySQLAuditing,2,Data analysisdata securityConsultingData AnalystData qualitydata integritySQLAuditing,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Product managementData analysisData validationFinancial reportingAnalyticalData collectionData AnalystData quality,2,Product managementData analysisData validationFinancial reportingAnalyticalData collectionData AnalystData quality,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,NoSQLXMLJavascriptData collectionPackagingJSONAnalyticsSQL,2,NoSQLXMLJavascriptData collectionPackagingJSONAnalyticsSQL,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,TrainingProgrammingData AnalystMathematicsJIRAMS OfficePowerpointStatistics,2,TrainingProgrammingData AnalystMathematicsJIRAMS OfficePowerpointStatistics,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,data cleansingSANAutomationUsageManager Quality AssuranceData qualitydata visualizationData mining,2,data cleansingSANAutomationUsageManager Quality AssuranceData qualitydata visualizationData mining,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,TrainingCCorporate governanceKPIFinanceCorporateFund administrationData Analyst,2,TrainingCCorporate governanceKPIFinanceCorporateFund administrationData Analyst,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Data analysisClaimsConsultingHIPAAHealthcareData miningUS healthcareProject delivery,2,Data analysisClaimsConsultingHIPAAHealthcareData miningUS healthcareProject delivery,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Data AnalysisDPIAstakeholder managementaccess managementGDPRData PrivacyAnalysisAccess,2,Data AnalysisDPIAstakeholder managementaccess managementGDPRData PrivacyAnalysisAccess,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Security auditcyber securityGap analysisData AnalystSCMIT recruitmentHSSEOperations,2,Security auditcyber securityGap analysisData AnalystSCMIT recruitmentHSSEOperations,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,CVEnvironmental scienceImage processingTechnicalData collectionData processingData AnalystMSC,2,CVEnvironmental scienceImage processingTechnicalData collectionData processingData AnalystMSC,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Computer scienceAnalytical skillsComputer languagesExcelCodingdata visualizationData miningBusiness intelligence,2,Computer scienceAnalytical skillsComputer languagesExcelCodingdata visualizationData miningBusiness intelligence,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Product pricingClinical operationsWellnessHealth managementActuarialhealthcare analyticsContinuous improvementSQL,2,Product pricingClinical operationsWellnessHealth managementActuarialhealthcare analyticsContinuous improvementSQL,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,IT servicesAnalytical skillsData analysisAgiledata governanceCustomer servicedata visualizationlead data analyst,2,IT servicesAnalytical skillsData analysisAgiledata governanceCustomer servicedata visualizationlead data analyst,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Process designData analysisVersion controlCodingAnalyticalWeb developmentJavascriptAgile,2,Process designData analysisVersion controlCodingAnalyticalWeb developmentJavascriptAgile,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,data cleansingReport generationmetadataManager Quality Assurancedata integrityData AnalystManagementTroubleshooting,2,data cleansingReport generationmetadataManager Quality Assurancedata integrityData AnalystManagementTroubleshooting,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Business objectsSASXMLSSRSJavascriptSSISBusiness intelligenceSQL,2,Business objectsSASXMLSSRSJavascriptSSISBusiness intelligenceSQL,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,MiningData analysisManager Quality AssuranceSASDiagnosticsAnalyticalProgrammingdata visualization,2,MiningData analysisManager Quality AssuranceSASDiagnosticsAnalyticalProgrammingdata visualization,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,HR processesData modelingpower biData Analystdata visualizationResearchAnalyticsSQL,2,HR processesData modelingpower biData Analystdata visualizationResearchAnalyticsSQL,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,AutomationData analysisQuality standardsAsset managementMacrosPortfolio managementAnalyticsFinancial services,2,AutomationData analysisQuality standardsAsset managementMacrosPortfolio managementAnalyticsFinancial services,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Manager Quality AssuranceData managementPrimary researchHooversRDBMSData qualityTroubleshootingMS Office,2,Manager Quality AssuranceData managementPrimary researchHooversRDBMSData qualityTroubleshootingMS Office,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Data analysisInterpersonal skillsInvestor relationsCodingProcess improvementdata governanceHealthcareData Analyst,2,Data analysisInterpersonal skillsInvestor relationsCodingProcess improvementdata governanceHealthcareData Analyst,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,CommerceHTMLdatadata analysis,2,CommerceHTMLdatadata analysis,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Computer scienceData analysisData modelingSSRSOLAPQlikViewSSISmicrosoft,2,Computer scienceData analysisData modelingSSRSOLAPQlikViewSSISmicrosoft,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Computer scienceData analysisMinitabCodingAnalyticalMachine learningData structuresHRD,2,Computer scienceData analysisMinitabCodingAnalyticalMachine learningData structuresHRD,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,TradeHead Business DevelopmentDiagnosticsRadiologyHealthcareData AnalystNABHTesting,2,TradeHead Business DevelopmentDiagnosticsRadiologyHealthcareData AnalystNABHTesting,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,PrintingUsageExcelCGIManager TechnologyData AnalystPower supplyManagement,2,PrintingUsageExcelCGIManager TechnologyData AnalystPower supplyManagement,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Manager Quality AssuranceData managementPrimary researchHooversRDBMSData qualityTroubleshootingMS Office,2,Manager Quality AssuranceData managementPrimary researchHooversRDBMSData qualityTroubleshootingMS Office,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Computer scienceData analysisAutomationStaffingConsultingData Analystdata visualizationBusiness intelligence,2,Computer scienceData analysisAutomationStaffingConsultingData Analystdata visualizationBusiness intelligence,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,AutomationBusiness analyticsConsultingManagement consultingRisk managementIT operationsInformation technologySQL,2,AutomationBusiness analyticsConsultingManagement consultingRisk managementIT operationsInformation technologySQL,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Data analysisBusiness analyticsAnalyticalConsultingManagement consultingSchedulingRisk managementIT operations,2,Data analysisBusiness analyticsAnalyticalConsultingManagement consultingSchedulingRisk managementIT operations,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Computer scienceData modelingMachine learningData AnalystData qualityBusiness solutionsStatisticsAnalytics,2,Computer scienceData modelingMachine learningData AnalystData qualityBusiness solutionsStatisticsAnalytics,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,AdministrationService levelMedical codingPharmaPharmacyManagement consultingLife sciencesPharmacovigilance,2,AdministrationService levelMedical codingPharmaPharmacyManagement consultingLife sciencesPharmacovigilance,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Computer scienceDatabase designProcess improvementData collectionInformation managementData miningForecastingAnalytics,2,Computer scienceDatabase designProcess improvementData collectionInformation managementData miningForecastingAnalytics,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Project developmentAnalysis StudioTechnology managementProduction supportdevelopment testingBusiness AnalystCognosReport studio,2,Project developmentAnalysis StudioTechnology managementProduction supportdevelopment testingBusiness AnalystCognosReport studio,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Computer scienceUsageDatabase designBusiness Data AnalystProcess improvementConsultingData collectionData mining,2,Computer scienceUsageDatabase designBusiness Data AnalystProcess improvementConsultingData collectionData mining,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Manager Quality AssuranceData managementPrimary researchHooversRDBMSData qualityTroubleshootingMS Office,2,Manager Quality AssuranceData managementPrimary researchHooversRDBMSData qualityTroubleshootingMS Office,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Data analysisSASCodingProcess improvementXMLMarket researchData processingSPSS,2,Data analysisSASCodingProcess improvementXMLMarket researchData processingSPSS,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,AnalyticalRisk assessmentData qualityData miningInformation technologySQLAuditingPython,2,AnalyticalRisk assessmentData qualityData miningInformation technologySQLAuditingPython,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,CVSData analysisData managementAnalyticalData collectionData AnalystResearchTroubleshooting,2,CVSData analysisData managementAnalyticalData collectionData AnalystResearchTroubleshooting,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Data analysisData managementData modelingFinancial analysisNetwork analysisDatabaseProgrammingStored procedures,2,Data analysisData managementData modelingFinancial analysisNetwork analysisDatabaseProgrammingStored procedures,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Help DeskCustomer Servicedata analysiscustomer relationshipaccess controlsTelephony supportAsset ManagementVendor Management,2,Help DeskCustomer Servicedata analysiscustomer relationshipaccess controlsTelephony supportAsset ManagementVendor Management,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,IT servicesBusiness objectsSASData collectionJavascriptSPSSInformation managementData mining,2,IT servicesBusiness objectsSASData collectionJavascriptSPSSInformation managementData mining,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Data AnalysisPower BiSPSSPythonSQLBiAnalysisData,2,Data AnalysisPower BiSPSSPythonSQLBiAnalysisData,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Business processComputer scienceReinsuranceAdministration ManagerClaimsVisual BasicUnderwritingData quality,2,Business processComputer scienceReinsuranceAdministration ManagerClaimsVisual BasicUnderwritingData quality,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Data analysisBusiness analysisProject managementConsultingSchemaAgilePLSQLOLAP,2,Data analysisBusiness analysisProject managementConsultingSchemaAgilePLSQLOLAP,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Computer scienceExcelData managementBusiness analyticsConsultingData collectionMarket researchPLSQL,2,Computer scienceExcelData managementBusiness analyticsConsultingData collectionMarket researchPLSQL,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Manager Quality AssuranceData managementPrimary researchHooversRDBMSData qualityTroubleshootingMS Office,2,Manager Quality AssuranceData managementPrimary researchHooversRDBMSData qualityTroubleshootingMS Office,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,data managementchaidstatistical techniquesdata miningdocumentationsegmentationanalytical techniquesclustering,2,data managementchaidstatistical techniquesdata miningdocumentationsegmentationanalytical techniquesclustering,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Business objectsSASDatabase designXMLSSRSJavascriptSSISBusiness intelligence,2,Business objectsSASDatabase designXMLSSRSJavascriptSSISBusiness intelligence,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,data managementchaidstatistical techniquesdata miningdocumentationsegmentationanalytical techniquesclustering,2,data managementchaidstatistical techniquesdata miningdocumentationsegmentationanalytical techniquesclustering,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Analytical skillsAnalystExcelSystem integrationScrumResearchManagementPowerpoint,2,Analytical skillsAnalystExcelSystem integrationScrumResearchManagementPowerpoint,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Statistical programmingDrillingProgrammingDeploymentData AnalystStatisticsInventoryPython,2,Statistical programmingDrillingProgrammingDeploymentData AnalystStatisticsInventoryPython,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,T-SQLAssociate Data Analystintegration leadMachine learningData AnalystMathematicsStored proceduresdata visualization,2,T-SQLAssociate Data Analystintegration leadMachine learningData AnalystMathematicsStored proceduresdata visualization,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Process automationSANHead Business DevelopmentUsageMISSOCSMSData Analyst,2,Process automationSANHead Business DevelopmentUsageMISSOCSMSData Analyst,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,metadataGoogle AnalyticsPrototypeData managementCodingdata securityMySQLOracle,2,metadataGoogle AnalyticsPrototypeData managementCodingdata securityMySQLOracle,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Business processStatistical modelingNeural networksAnalyticalFinancial riskMachine learningData AnalystStatistics,2,Business processStatistical modelingNeural networksAnalyticalFinancial riskMachine learningData AnalystStatistics,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,data managementchaidstatistical techniquesdata miningdocumentationsegmentationanalytical techniquesclustering,2,data managementchaidstatistical techniquesdata miningdocumentationsegmentationanalytical techniquesclustering,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,AutomationWeb analyticsBusiness analysisData modelingAnalyticalSchedulingData miningCRM,2,AutomationWeb analyticsBusiness analysisData modelingAnalyticalSchedulingData miningCRM,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,CodingData modelingXMLAnalyticalPostgresqlHealthcareData AnalystOperations,2,CodingData modelingXMLAnalyticalPostgresqlHealthcareData AnalystOperations,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,ISMSPDFBusiness AnalystManager TechnologyApplication developmentData AnalystJPEGITES,2,ISMSPDFBusiness AnalystManager TechnologyApplication developmentData AnalystJPEGITES,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,PDFQuality checkAnalyticalData collectionData AnalystData qualitydata integrityOperations,2,PDFQuality checkAnalyticalData collectionData AnalystData qualitydata integrityOperations,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Data analysisAutomationData validationData AnalystData qualitydata integrityData miningSQL,2,Data analysisAutomationData validationData AnalystData qualitydata integrityData miningSQL,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,BITableauDashboardingSQLBig dataAgile methodologiesdata engineeringKanban,2,BITableauDashboardingSQLBig dataAgile methodologiesdata engineeringKanban,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Solution architectureSASAnalyticalMachine learningProgrammingPredictive modelingAnalyticsFinancial services,2,Solution architectureSASAnalyticalMachine learningProgrammingPredictive modelingAnalyticsFinancial services,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Product managementData analysisData validationFinancial reportingAnalyticalData collectionbusiness rulesData quality,2,Product managementData analysisData validationFinancial reportingAnalyticalData collectionbusiness rulesData quality,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Data Analystdatadata analysis,2,Data Analystdatadata analysis,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Supply chainFinancial statementsUsageFinancial accountingFixed incomeFinanceWorkflowData Analyst,2,Supply chainFinancial statementsUsageFinancial accountingFixed incomeFinanceWorkflowData Analyst,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Data analysisHelpdeskHP data protectorIT strategyDisaster recoveryDatabaseData AnalystData mining,2,Data analysisHelpdeskHP data protectorIT strategyDisaster recoveryDatabaseData AnalystData mining,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Business processReport generationPDFWeb technologiesSFDCDeltaXMLCloud,2,Business processReport generationPDFWeb technologiesSFDCDeltaXMLCloud,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Manager TechnologyData AnalystOpen sourcebig datadata analysisdatatechnologysource,2,Manager TechnologyData AnalystOpen sourcebig datadata analysisdatatechnologysource,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,Solution architectureData migrationProject managementAnalyticalAgileData AnalystData qualitySSIS,2,Solution architectureData migrationProject managementAnalyticalAgileData AnalystData qualitySSIS,IT,2026-02-01,Feb
Data Analyst,Bangalore,4.0,8.0,QAManager Quality AssuranceWeb technologiesFunctional testingCompliance managementData AnalystSolution AnalystSoftware solutions,2,QAManager Quality AssuranceWeb technologiesFunctional testingCompliance managementData AnalystSolution AnalystSoftware solutions,IT,2026-02-01,Feb
